Última atualização: 11/09/2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Operação;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link
SDYV;SP0454;SECOVI;SÃO PAULO;São Paulo;"046°38'54,0""O";"23°36'13,0""S";VFR Diurna/Noturna;12 32;Quadrado;18m x 18m;t;Concreto;11/02/2025;PA2015-0337;https://pergamum.anac.gov.br/arquivos/PA2015-0337.pdf
SDYZ;SP0455;Kuka;SÃO PAULO;São Paulo;"046°36'04,9""O";"23°34'09,0""S";VFR Diurna;18 36;Quadrado;18m x 18m;t;Concreto;11/12/2023;PA2013-3242;https://pergamum.anac.gov.br/arquivos/PA2013-3242.pdf
SDZD;SP0457;ABB Sorocaba;SOROCABA;São Paulo;"047°21'43,0""O";"23°25'31,0""S";VFR Diurna/Noturna;32;Quadrado;24m x 24m;t;Concreto;31/10/2022;PA2012-2301;https://pergamum.anac.gov.br/arquivos/PA2012-2301.pdf
SDZE;SP0458;Ita;ITAPECERICA DA SERRA;São Paulo;"046°49'43,0""O";"23°42'05,0""S";VFR Diurna/Noturna;;Circular;12m x 12m;4t;Concreto;14/09/2025;PA2015-2400;https://pergamum.anac.gov.br/arquivos/PA2015-2400.pdf
SDZM;SP0459;Zimba D. Pedro I;ITATIBA;São Paulo;"046°44'01,0""O";"23°02'02,0""S";VFR Diurna;11 29;Quadrado;19,5m x 19,5m;t;Concreto;26/01/2025;PA2015-0178;https://pergamum.anac.gov.br/arquivos/PA2015-0178.pdf
SDZR;SP0460;SESI-FIESP;SÃO PAULO;São Paulo;"046°39'16,9""O";"23°33'49,5""S";VFR Diurna/Noturna;5;Quadrado;20m x 20m;t;Metálico;17/04/2023;PA2018-2853;https://pergamum.anac.gov.br/arquivos/PA2018-2853.pdf
SIAA;SP0462;Aeroandrés;MAIRIPORÃ;São Paulo;"046°38'20,0""O";"23°23'42,8""S";VFR Diurna;12;Quadrado;19,5m x 19,5m;t;Grama;11/10/2020;PA2013-1394;https://pergamum.anac.gov.br/arquivos/PA2013-1394.pdf
SIAE;SP0463;BASF Guaratinguetá;GUARATINGUETÁ;São Paulo;"045°10'14,9""O";"22°47'10,0""S";VFR Diurna/Noturna;13;Quadrado;19,5m x 19,5m;t;Concreto;25/01/2021;PA2018-3248;https://pergamum.anac.gov.br/arquivos/PA2018-3248.pdf
SIEE;SP0483;Ecovias Imigrantes;SÃO BERNARDO DO CAMPO;São Paulo;"046°35'47,6""O";"23°47'04,0""S";VFR Diurna/Noturna;35;Quadrado;21m x 21m;t;Concreto;12/02/2025;PA2015-1857;https://pergamum.anac.gov.br/arquivos/PA2015-1857.pdf
SIAV;SP0464;Helipark;CARAPICUÍBA;São Paulo;"046°49'49,0""O";"23°33'53,0""S";VFR Diurna/Noturna;23;Quadrado;25,7m x 25,7m;t;Concreto;16/07/2022;PA2014-1400;https://pergamum.anac.gov.br/arquivos/PA2014-1400.pdf
SIBB;SP0465;Edifício Comendador Alberto Bonfiglioli;SÃO PAULO;São Paulo;"046°39'07,0""O";"23°33'52,0""S";VFR Diurna/Noturna;27;Quadrado;20m x 20m;t;Metálico;18/07/2023;PA2013-1853;https://pergamum.anac.gov.br/arquivos/PA2013-1853.pdf
SIBG;SP0466;Banco Induscred;SÃO PAULO;São Paulo;"046°39'20,9""O";"23°33'51,8""S";VFR Diurna/Noturna;9;Quadrado;19,8m x 19,8m;t;Concreto;13/02/2023;PA2013-2319;https://pergamum.anac.gov.br/arquivos/PA2013-2319.pdf
SIBH;SP0467;Helicidade;SÃO PAULO;São Paulo;"046°44'13,0""O";"23°32'48,0""S";VFR Diurna/Noturna;2 17;Quadrado;24m x 24m;t;Concreto;12/04/2022;PA2012-0664;https://pergamum.anac.gov.br/arquivos/PA2012-0664.pdf
SIBR;SP0469;Ribeirão Shopping;RIBEIRÃO PRETO;São Paulo;"047°50'04,0""O";"21°12'42,0""S";VFR Diurna/Noturna;1;Quadrado;18m x 18m;t;Concreto;29/05/2024;PA2014-0709;https://pergamum.anac.gov.br/arquivos/PA2014-0709.pdf
SIBS;SP0470;E-Business Bosque;SÃO PAULO;São Paulo;"046°42'37,0""O";"23°30'43,0""S";VFR Diurna/Noturna;35;Quadrado;24m x 24m;t;Concreto;30/12/2024;PA2014-3165;https://pergamum.anac.gov.br/arquivos/PA2014-3165.pdf
SICC;SP0472;Fazenda Campo Alto;ARARAS;São Paulo;"047°17'12,0""O";"22°23'20,0""S";VFR Diurna/Noturna;1 19;Quadrado;30m x 30m;t;Concreto;11/09/2024;PA2014-2126;https://pergamum.anac.gov.br/arquivos/PA2014-2126.pdf
SICH;SP0474;Hotel Campos do Jordão;CAMPOS DO JORDÃO;São Paulo;"045°34'04,0""O";"22°43'04,0""S";VFR Diurna/Noturna;9 27;Quadrado;21m x 21m;t;Concreto;10/05/2023;PA2013-1161;https://pergamum.anac.gov.br/arquivos/PA2013-1161.pdf
SICT;SP0475;Elektro;CAMPINAS;São Paulo;"047°06'23,3""O";"22°59'48,2""S";VFR Diurna/Noturna;27;Quadrado;21m x 21m;t;Concreto;28/12/2021;PA2013-0950;https://pergamum.anac.gov.br/arquivos/PA2013-0950.pdf
SICZ;SP0477;Edifício Comercial Lorena;SÃO PAULO;São Paulo;"046°39'20,3""O";"23°34'24,2""S";VFR Diurna/Noturna;1;Quadrado;21m x 21m;t;Concreto;16/01/2023;PA2013-0111;https://pergamum.anac.gov.br/arquivos/PA2013-0111.pdf
SIDA;SP0478;Edifício Dakota;SÃO PAULO;São Paulo;"046°41'01,0""O";"23°35'40,0""S";VFR Diurna/Noturna;27;Quadrado;18m x 18m;t;Concreto;13/06/2022;PA2015-1362;https://pergamum.anac.gov.br/arquivos/PA2015-1362.pdf
SIDE;SP0479;Polícia Federal;SÃO PAULO;São Paulo;"046°42'16,0""O";"23°30'41,0""S";VFR Diurna/Noturna;17 35;Quadrado;26m x 26m;t;Concreto;24/01/2023;PA2013-0197;https://pergamum.anac.gov.br/arquivos/PA2013-0197.pdf
SIDH;SP0480;Brascan Century Plaza Green Valley Commercial;BARUERI;São Paulo;"046°51'51,0""O";"23°29'08,0""S";VFR Diurna/Noturna;5 23;Quadrado;24m x 24m;t;Concreto;07/11/2024;PA2015-2929;https://pergamum.anac.gov.br/arquivos/PA2015-2929.pdf
SDHY;SP0351;Edifício São Luís Gonzaga;SÃO PAULO;São Paulo;"046°39'40,1""O";"23°33'24,1""S";VFR Diurna/Noturna;16;Quadrado;20,5m x 20,5m;t;Concreto;11/07/2022;PA2013-0800;https://pergamum.anac.gov.br/arquivos/PA2013-0800.pdf
SDHZ;SP0352;Hospital Vera Cruz.;CAMPINAS;São Paulo;"047°04'04,0""O";"22°54'15,0""S";VFR Diurna;10 19;Quadrado;20m x 20m;t;Concreto;23/05/2024;PA2014-1204;https://pergamum.anac.gov.br/arquivos/PA2014-1204.pdf
SDII;SP0354;iTower;BARUERI;São Paulo;"046°50'57,5""O";"23°30'17,0""S";VFR Diurna/Noturna;9 30;Quadrado;24m x 24m;t;Concreto;08/07/2021;PA2015-3191;https://pergamum.anac.gov.br/arquivos/PA2015-3191.pdf
SDIS;SP0356;The Eagle's Nest;ARANDU;São Paulo;"049°01'26,0""O";"23°14'51,0""S";VFR Diurna/Noturna;13;Quadrado;21m x 21m;t;Concreto;20/09/2021;PA2011-1775;https://pergamum.anac.gov.br/arquivos/PA2011-1775.pdf
SDIT;SP0357;Itaú NPD Paulista;SÃO PAULO;São Paulo;"046°39'29,0""O";"23°34'36,0""S";VFR Diurna/Noturna;4 14;Quadrado;21m x 21m;t;Metálico;24/01/2023;PA2013-0195;https://pergamum.anac.gov.br/arquivos/PA2013-0195.pdf
SDIW;SP0358;Edifício São Paulo Trade Building;SÃO PAULO;São Paulo;"046°41'22,0""O";"23°35'39,0""S";VFR Diurna/Noturna;10;Quadrado;18m x 18m;t;Concreto;20/06/2021;PA2013-2323;https://pergamum.anac.gov.br/arquivos/PA2013-2323.pdf
SDJB;SP0359;Quinta da Baroneza II;BRAGANÇA PAULISTA;São Paulo;"046°42'01,4""O";"22°58'24,2""S";VFR Diurna/Noturna;27;Quadrado;21m x 21m;t;Concreto;13/11/2023;PA2013-2966;https://pergamum.anac.gov.br/arquivos/PA2013-2966.pdf
SDJI;SP0361;AVIBRÁS II;JACAREÍ;São Paulo;"045°49'00,0""O";"23°19'34,0""S";VFR Diurna;5;Quadrado;26m x 26m;t;Concreto;30/12/2024;PA2014-3164;https://pergamum.anac.gov.br/arquivos/PA2014-3164.pdf
SDJJ;SP0362;Rio Pardo;IARAS;São Paulo;"049°02'51""O";"22°52'17,0""S";VFR Diurna/Noturna;2 23;Quadrado;24m x 24m;t;Concreto;02/05/2023;PA2013-1097;https://pergamum.anac.gov.br/arquivos/PA2013-1097.pdf
SDJK;SP0363;Centro Empresarial Araguaia;BARUERI;São Paulo;"046°50'31,0""O";"23°30'07,0""S";VFR Diurna/Noturna;3;Quadrado;24m x 24m;t;Concreto;05/06/2025;PA2017-0467;https://pergamum.anac.gov.br/arquivos/PA2017-0467.pdf
SDJM;SP0364;Sítio Santo Antônio;JUNDIAÍ;São Paulo;"046°55'42,0""O";"23°07'57,0""S";VFR Diurna/Noturna;1;Quadrado;21m x 21m;4,25t;Concreto;02/09/2021;PA2011-1646;https://pergamum.anac.gov.br/arquivos/PA2011-1646.pdf
SDJP;SP0365;Igreja Mundial do Poder de Deus - IMPD;SÃO PAULO;São Paulo;"046°37'14,7""O";"23°33'03,0""S";VFR Diurna/Noturna;36;Quadrado;22,5m x 22,5m;t;Concreto;19/11/2028;PA2018-3335;https://pergamum.anac.gov.br/arquivos/PA2018-3335.pdf
SDJT;SP0366;J. Toledo;JUNDIAÍ;São Paulo;"046°54'32,0""O";"23°10'30,0""S";VFR Diurna/Noturna;21;Quadrado;18m x 18m;t;Concreto;21/09/2021;PA2013-0878;https://pergamum.anac.gov.br/arquivos/PA2013-0878.pdf
SDKG;SP0371;Francisco Mellão;SÃO PAULO;São Paulo;"046°41'19,0""O";"23°35'37,0""S";VFR Diurna/Noturna;9 24;Quadrado;18m x 18m;t;Concreto;10/04/2024;PA2014-0867;https://pergamum.anac.gov.br/arquivos/PA2014-0867.pdf
SDKI;SP0372;CL;SÃO JOSÉ DOS CAMPOS;São Paulo;"045°54'25,0""O";"23°13'30,0""S";VFR Diurna/Noturna;27;Quadrado;21m x 21m;t;Metálico;11/03/2021;PA2014-1953;https://pergamum.anac.gov.br/arquivos/PA2014-1953.pdf
SDKM;SP0373;Hotel Emiliano;SÃO PAULO;São Paulo;"046°39'55,0""O";"23°33'58,0""S";VFR Diurna/Noturna;15 36;Quadrado;19,5m x 19,5m;t;Metálico;12/04/2022;PA2014-3143;https://pergamum.anac.gov.br/arquivos/PA2014-3143.pdf
SDKR;SP0374;Fazenda Santo Antônio;ARARAS;São Paulo;"047°19'34,5""O";"22°22'45,5""S";VFR Diurna/Noturna;4 30;Quadrado;24m x 24m;t;Concreto;19/02/2025;PA2015-0410;https://pergamum.anac.gov.br/arquivos/PA2015-0410.pdf
SDKT;SP0375;Edifício Dacon;SÃO PAULO;São Paulo;"046°41'02,0""O";"23°34'50,0""S";VFR Diurna/Noturna;15 35;Quadrado;19,5m x 19,5m;t;Concreto;22/08/2023;PA2017-0651;https://pergamum.anac.gov.br/arquivos/PA2017-0651.pdf
SDKU;SP0376;Itanhangá;INDAIATUBA;São Paulo;"047°11'07,0""O";"23°03'23,0""S";VFR Diurna/Noturna;15;Quadrado;21m x 21m;t;Grama;21/03/2022;PA2014-2256;https://pergamum.anac.gov.br/arquivos/PA2014-2256.pdf
SDKV;SP0377;Rede Globo;SÃO PAULO;São Paulo;"046°41'49,0""O";"23°36'53,0""S";VFR Diurna/Noturna;3;Quadrado;21m x 21m;t;Concreto;07/07/2021;PA2015-1890;https://pergamum.anac.gov.br/arquivos/PA2015-1890.pdf
SDKW;SP0378;Wessel;ARAÇARIGUAMA;São Paulo;"047°06'31,0""O";"23°24'58,0""S";VFR Diurna/Noturna;18;Quadrado;21m x 21m;t;Concreto;11/04/2026;PA2016-0870;https://pergamum.anac.gov.br/arquivos/PA2016-0870.pdf
SDKY;SP0379;Hospital das Clínicas;SÃO PAULO;São Paulo;"046°40'09,4""O";"23°33'29,0""S";VFR Diurna/Noturna;4;Quadrado;21m x 21m;t;Concreto;19/03/2023;PA2013-0719;https://pergamum.anac.gov.br/arquivos/PA2013-0719.pdf
SDLB;SP0380;Metropolitan Office;SÃO PAULO;São Paulo;"046°40'57,7""O";"23°34'52,3""S";VFR Diurna/Noturna;15 30;Quadrado;18m x 18m;t;Metálico;07/03/2022;PA2013-0801;https://pergamum.anac.gov.br/arquivos/PA2013-0801.pdf
SDLQ;SP0382;Maresias;SÃO SEBASTIÃO;São Paulo;"045°34'19,0""O";"23°47'11,0""S";VFR Diurna/Noturna;35;Quadrado;20m x 20m;t;Concreto;04/04/2023;PA2013-0720;https://pergamum.anac.gov.br/arquivos/PA2013-0720.pdf
SDLT;SP0383;Litucera;VINHEDO;São Paulo;"046°59'01,0""O";"23°02'23,0""S";VFR Diurna/Noturna;31;Quadrado;19,5m x 19,5m;t;Concreto;29/11/2022;PA2016-0444;https://pergamum.anac.gov.br/arquivos/PA2016-0444.pdf
SDMB;SP0384;Benteler;CAMPINAS;São Paulo;"047°07'10,0""O";"23°00'04,0""S";VFR Diurna;13 31;Quadrado;18m x 18m;t;Asfalto;26/04/2022;PA2012-0773;https://pergamum.anac.gov.br/arquivos/PA2012-0773.pdf
SDMT;SP0386;Banco Bradesco Av. Paulista;SÃO PAULO;São Paulo;"046°39'18""O";"23°33'44,0""S";VFR Diurna/Noturna;18;Quadrado;18m x 18m;t;Metálico;01/03/2026;PA2016-0477;https://pergamum.anac.gov.br/arquivos/PA2016-0477.pdf
SDUV;ES0012;Columbia;SERRA;Espírito Santo;"040°13'56,0""O";"20°10'37,0""S";VFR Diurna/Noturna;21 31;Quadrado;18m x 18m;t;Concreto;04/11/2023;PA2013-2840;https://pergamum.anac.gov.br/arquivos/PA2013-2840.pdf
SDMZ;SP0387;Mercedes-Benz do Brasil ;SÃO BERNARDO DO CAMPO;São Paulo;"046°34'46,0""O";"23°39'48,0""S";VFR Diurna/Noturna;29;Quadrado;21m x 21m;t;Concreto;10/03/2024;PA2015-0315;https://pergamum.anac.gov.br/arquivos/PA2015-0315.pdf
SDNG;SP0388;Fazenda São João;JAÚ;São Paulo;"048°36'02,0""O";"22°25'06,0""S";VFR Diurna/Noturna;6;Quadrado;19,8m x 19,8m;t;Concreto;14/09/2025;PA2015-2395;https://pergamum.anac.gov.br/arquivos/PA2015-2395.pdf
SDNP;SP0390;Condomínio Conde Matarazzo;SÃO PAULO;São Paulo;"046°38'15,5""O";"23°32'51,6""S";VFR Diurna/Noturna;9;Quadrado;18m x 18m;t;Concreto;24/01/2023;PA2013-0191;https://pergamum.anac.gov.br/arquivos/PA2013-0191.pdf
SIZV;MG0238;Sada;BETIM;Minas Gerais;"044°07'02,9""O";"19°57'35,0""S";VFR Diurna;9;Quadrado;21m x 21m;t;Asfalto;31/03/2024;PA2014-0767;https://pergamum.anac.gov.br/arquivos/PA2014-0767.pdf
SDOC;SP0392;Hospital do Coração;SÃO PAULO;São Paulo;"046°38'35,0""O";"23°34'23,0""S";VFR Diurna/Noturna;12 35;Quadrado;18m x 18m;t;Concreto;24/02/2022;PA2012-0350;https://pergamum.anac.gov.br/arquivos/PA2012-0350.pdf
SDOF;SP0393;Edifício Palladio;SÃO PAULO;São Paulo;"046°41'08,0""O";"23°35'41,0""S";VFR Diurna/Noturna;9;Quadrado;21m x 21m;t;Concreto;23/07/2025;PA2015-1950;https://pergamum.anac.gov.br/arquivos/PA2015-1950.pdf
SDNN;SP0389;Birmann 21;SÃO PAULO;São Paulo;"046°42'08,2""O";"23°33'55,3""S";VFR Diurna/Noturna;6 22;Quadrado;18m x 18m;t;Concreto;25/05/2021;PA2018-3003;https://pergamum.anac.gov.br/arquivos/PA2018-3003.pdf
SDOH;SP0395;Pedreira Pau Pedra;GUARULHOS;São Paulo;"046°25'33,0""O";"23°21'03,0""S";VFR Diurna/Noturna;35;Quadrado;24m x 24m;t;Concreto;10/08/2025;PA2015-2134;https://pergamum.anac.gov.br/arquivos/PA2015-2134.pdf
SDOK;SP0396;Casas Bahia;JUNDIAÍ;São Paulo;"046°51'57,0""O";"23°14'10,0""S";VFR Diurna;14 35;Quadrado;19,5m x 19,5m;t;Concreto;09/05/2024;PA2017-1969;https://pergamum.anac.gov.br/arquivos/PA2017-1969.pdf
SDON;SP0397;Ônix;SÃO PAULO;São Paulo;"046°43'20,0""O";"23°33'05,0""S";VFR Diurna/Noturna;1 16;Quadrado;18m x 18m;t;Concreto;08/02/2022;PA2015-0704;https://pergamum.anac.gov.br/arquivos/PA2015-0704.pdf
SDOT;SP0399;Attilio Tinelli;SÃO PAULO;São Paulo;"046°41'37,0""O";"23°36'09,0""S";VFR Diurna/Noturna;29;Quadrado;19,5m x 19,5m;t;Concreto;19/08/2021;PA2018-2579;https://pergamum.anac.gov.br/arquivos/PA2018-2579.pdf
SDPB;SP0400;Edifício Prime Business Center;FRANCA;São Paulo;"047°23'24""O";"20°32'10,0""S";VFR Diurna/Noturna;6 26;Quadrado;21m x 21m;t;Concreto;25/05/2026;PA2016-1288;https://pergamum.anac.gov.br/arquivos/PA2016-1288.pdf
SDPF;SP0401;Soufer Paulínia;PAULÍNIA;São Paulo;"047°10'04,0""O";"22°43'37,0""S";VFR Diurna/Noturna;24 33;Quadrado;21m x 21m;4,3t;Concreto;01/02/2022;PA2012-0223;https://pergamum.anac.gov.br/arquivos/PA2012-0223.pdf
SDPK;SP0402;Panco I;SÃO PAULO;São Paulo;"046°29'41,7""O";"23°31'40,9""S";VFR Diurna/Noturna;14;Quadrado;19,3m x 19,3m;t;Concreto;04/09/2022;PA2013-0797;https://pergamum.anac.gov.br/arquivos/PA2013-0797.pdf
SDPL;SP0403;Ibirapuera Park Hotel Ltda;SÃO PAULO;São Paulo;"046°38'58,0""O";"23°35'34,0""S";VFR Diurna/Noturna;2 22;Quadrado;19,5m x 19,5m;t;Concreto;19/08/2021;PA2017-2033;https://pergamum.anac.gov.br/arquivos/PA2017-2033.pdf
SDXC;PR0106;Condor;CURITIBA;Paraná;"049°17'49,0""O";"25°30'56,0""S";VFR Diurna/Noturna;2 18;Quadrado;19,6m x 19,6m;t;Concreto;04/06/2028;PA2018-1611;https://pergamum.anac.gov.br/arquivos/PA2018-1611.pdf
SIEY;MG0225;Palácio das Mangabeiras;BELO HORIZONTE;Minas Gerais;"043°54'44,0""O";"19°57'12,0""S";VFR Diurna/Noturna;10 28;Quadrado;21m x 21m;t;Concreto;23/07/2023;PA2013-1895;https://pergamum.anac.gov.br/arquivos/PA2013-1895.pdf
SDPM;SP0404;Palácio dos Bandeirantes;SÃO PAULO;São Paulo;"046°42'47,0""O";"23°36'02,0""S";VFR Diurna/Noturna;6 27;Quadrado;30m x 30m;t;Concreto;04/11/2023;PA2013-2823;https://pergamum.anac.gov.br/arquivos/PA2013-2823.pdf
SDPO;SP0405;Plaza Centenário;SÃO PAULO;São Paulo;"046°41'45,0""O";"23°36'19,0""S";VFR Diurna;13;Quadrado;18m x 18m;t;Concreto;13/02/2023;PA2013-0388;https://pergamum.anac.gov.br/arquivos/PA2013-0388.pdf
SDPS;SP0406;Hospital Estadual Mário Covas;SANTO ANDRÉ;São Paulo;"046°31'58,0""O";"23°40'15,0""S";VFR Diurna/Noturna;3;Quadrado;21m x 21m;t;Concreto;11/08/2024;PA2014-1863;https://pergamum.anac.gov.br/arquivos/PA2014-1863.pdf
SDPT;SP0407;Parque Paulista;SÃO PAULO;São Paulo;"046°39'33,0""O";"23°33'37,0""S";VFR Diurna/Noturna;8;Quadrado;19,5m x 19,5m;t;Concreto;25/01/2023;PA2013-0231;https://pergamum.anac.gov.br/arquivos/PA2013-0231.pdf
SDQI;SP0408;Fazenda Quilombo;INDAIATUBA;São Paulo;"047°05'12,0""O";"23°04'27,0""S";VFR Diurna/Noturna;24;Quadrado;22m x 22m;t;Concreto;;;
SDQO;SP0409;Fazenda São Quirino;MORUNGABA;São Paulo;"046°50'44,0""O";"22°55'02,0""S";VFR Diurna;11 24;Quadrado;19,5m x 19,5m;3t;Concreto;01/04/2021;PA2011-0610;https://pergamum.anac.gov.br/arquivos/PA2011-0610.pdf
SDQP;SP0410;Parque Cultural Paulista;SÃO PAULO;São Paulo;"046°38'44,0""O";"23°34'18,0""S";VFR Diurna/Noturna;12 33;Quadrado;18m x 18m;t;Concreto;28/08/2022;PA2016-2470;https://pergamum.anac.gov.br/arquivos/PA2016-2470.pdf
SDQV;SP0411;Pavão;GUARULHOS;São Paulo;"046°24'38,0""O";"23°25'58,0""S";VFR Diurna/Noturna;24;Quadrado;20m x 20m;t;Concreto;;;
SDQW;SP0412;Guararema;GUARAREMA;São Paulo;"046°07'43,0""O";"23°19'35,0""S";VFR Diurna/Noturna;8;Quadrado;24m x 24m;t;Concreto;11/09/2024;PA2014-2119;https://pergamum.anac.gov.br/arquivos/PA2014-2119.pdf
SDRB;SP0414;Renaissance Hotel;SÃO PAULO;São Paulo;"046°39'44,0""O";"23°33'32,0""S";VFR Diurna/Noturna;14 35;Quadrado;18m x 18m;t;Metálico;10/03/2024;PA2014-0533;https://pergamum.anac.gov.br/arquivos/PA2014-0533.pdf
SDFO;SP0328;Centro Gráfico - Folha;SANTANA DE PARNAÍBA;São Paulo;"046°51'38,0""O";"23°27'59,0""S";VFR Diurna/Noturna;22;Quadrado;22m x 22m;4,25t;Concreto;01/11/2021;PA2011-2121;https://pergamum.anac.gov.br/arquivos/PA2011-2121.pdf
SDRN;SP0415;Zarzur;SÃO PAULO;São Paulo;"046°41'31,0""O";"23°34'12,0""S";VFR Diurna/Noturna;20;Quadrado;23m x 23m;4,5t;Metálico;;;
SDSR;SP0418;Subestação São Roque;IBIÚNA;São Paulo;"047°06'12,0""O";"23°39'33,0""S";VFR Diurna/Noturna;20;Quadrado;34m x 34m;t;Concreto;13/10/2021;PA2017-1713;https://pergamum.anac.gov.br/arquivos/PA2017-1713.pdf
SDSU;SP0419;Pirelli Sumaré;SUMARÉ;São Paulo;"047°11'30,0""O";"22°48'00,0""S";VFR Diurna;7 28;Quadrado;20m x 20m;t;Grama;17/01/2024;PA2014-0122;https://pergamum.anac.gov.br/arquivos/PA2014-0122.pdf
SDTC;SP0422;Edifício Edel Trade Center;SÃO PAULO;São Paulo;"046°39'38,0""O";"23°36'09,0""S";VFR Diurna/Noturna;15 35;Quadrado;18m x 18m;t;Metálico;24/09/2023;PA2014-0868;https://pergamum.anac.gov.br/arquivos/PA2014-0868.pdf
SDTN;SP0426;REC Berrini TNU;SÃO PAULO;São Paulo;"046°41'48,1""O";"23°36'28,9""S";VFR Diurna/Noturna;13;Quadrado;18m x 18m;t;Concreto;11/02/2024;PA2014-0327;https://pergamum.anac.gov.br/arquivos/PA2014-0327.pdf
SDTQ;SP0427;Tribuna Square;SANTOS;São Paulo;"046°19'18,0""O";"23°56'12,0""S";VFR Diurna/Noturna;12 30;Quadrado;20m x 20m;t;Concreto;11/07/2024;PA2015-0432;https://pergamum.anac.gov.br/arquivos/PA2015-0432.pdf
SDTU;SP0428;Itaúsa;SÃO PAULO;São Paulo;"046°38'30,0""O";"23°38'11,0""S";VFR Diurna/Noturna;3 14;Quadrado;24m x 24m;t;Metálico;30/01/2023;PA2013-0272;https://pergamum.anac.gov.br/arquivos/PA2013-0272.pdf
SDUH;SP0429;Villa Otto Baumgart;CAMPOS DO JORDÃO;São Paulo;"045°33'47,0""O";"22°44'37,0""S";VFR Diurna/Noturna;20;Quadrado;21m x 21m;t;Concreto;11/09/2024;PA2014-2122;https://pergamum.anac.gov.br/arquivos/PA2014-2122.pdf
SDUI;SP0430;Centro Empresarial Iudice;SÃO PAULO;São Paulo;"046°41'41,0""O";"23°30'49,0""S";VFR Diurna/Noturna;3 18;Quadrado;20m x 20m;t;Metálico;18/12/2022;PA2015-0913;https://pergamum.anac.gov.br/arquivos/PA2015-0913.pdf
SDVB;SP0434;INA Brasil;SOROCABA;São Paulo;"047°24'52,0""O";"23°26'09,0""S";VFR Diurna/Noturna;2;Quadrado;20m x 20m;t;Concreto;23/09/2024;PA2014-2254;https://pergamum.anac.gov.br/arquivos/PA2014-2254.pdf
SDVN;SP0435;S.M.S.;CAMPOS DO JORDÃO;São Paulo;"045°33'10,0""O";"22°41'22,0""S";VFR Diurna/Noturna;17;Quadrado;21m x 21m;t;Concreto;14/09/2025;PA2015-2402;https://pergamum.anac.gov.br/arquivos/PA2015-2402.pdf
SDVR;SP0436;Pátio Victor Malzoni;SÃO PAULO;São Paulo;"046°40'54,0""O";"23°35'12,0""S";VFR Diurna/Noturna;8 25;Quadrado;30m x 30m;t;Concreto;26/01/2025;PA2015-0176;https://pergamum.anac.gov.br/arquivos/PA2015-0176.pdf
SJKY;SP0632;Comeri Santos;SANTOS;São Paulo;"046°19'31,0""O";"23°57'08,0""S";VFR Diurna/Noturna;18;Quadrado;20m x 20m;t;Metálico;14/04/2021;PA2015-1854;https://pergamum.anac.gov.br/arquivos/PA2015-1854.pdf
SJMC;SP0633;Monte Carlo Trade Center;BARUERI;São Paulo;"046°51'07,0""O";"23°29'35,0""S";VFR Diurna/Noturna;17 26;Quadrado;18m x 18m;t;Concreto;08/06/2025;PA2015-1366;https://pergamum.anac.gov.br/arquivos/PA2015-1366.pdf
SJMG;SP0634;Mega Mix;SÃO PAULO;São Paulo;"046°37'07,0""O";"23°32'09,0""S";VFR Diurna/Noturna;11;Quadrado;19,6m x 19,6m;t;Concreto;26/01/2025;PA2015-0181;https://pergamum.anac.gov.br/arquivos/PA2015-0181.pdf
SJNN;SP0635;Iporanga-Guarujá;GUARUJÁ;São Paulo;"046°10'18,0""O";"23°53'17,0""S";IFR Diurna;23;Circular;m x 21m;6t;Concreto;30/06/2025;PA2015-1618;https://pergamum.anac.gov.br/arquivos/PA2015-1618.pdf
SJNS;SP0636;Grupo Souza Lima  ;SÃO PAULO;São Paulo;"046°32'40,0""O";"23°32'05,0""S";VFR Diurna/Noturna;17;Quadrado;21m x 21m;t;Concreto;01/03/2027;PA2017-0618;https://pergamum.anac.gov.br/arquivos/PA2017-0618.pdf
SJNT;SP0637;GF Taxi Aéreo;GUARUJÁ;São Paulo;"046°17'21,0""O";"24°00'10,0""S";VFR Diurna/Noturna;15;Quadrado;21m x 21m;t;Concreto;26/06/2027;PA2017-3321;https://pergamum.anac.gov.br/arquivos/PA2017-3321.pdf
SJOI;SP0639;Office Premium Indaiatuba;INDAIATUBA;São Paulo;"047°13'22,0""O";"23°05'42,0""S";VFR Diurna/Noturna;6;Quadrado;20,6m x 20,6m;t;Concreto;23/03/2025;PA2015-0701;https://pergamum.anac.gov.br/arquivos/PA2015-0701.pdf
SJOL;SP0640;RS Morizono;BARUERI;São Paulo;"046°50'10,0""O";"23°30'29,0""S";VFR Diurna/Noturna;10 28;Quadrado;30m x 30m;t;Concreto;05/04/2022;PA2012-0634;https://pergamum.anac.gov.br/arquivos/PA2012-0634.pdf
SJON;SP0641;Jordanésia;CAJAMAR;São Paulo;"046°51'16,0""O";"23°21'17,0""S";VFR Diurna;29;Quadrado;24m x 24m;t;Concreto;06/02/2025;PA2015-0279;https://pergamum.anac.gov.br/arquivos/PA2015-0279.pdf
