Última atualização: 11/09/2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Operação;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link
SNJX;MG0256;Hospital Monte Sinai;JUIZ DE FORA;Minas Gerais;"043°21'53,0""O";"21°46'52,0""S";VFR Diurna/Noturna;6;Quadrado;18m x 18m;t;Concreto;21/09/2027;PA2017-3036;https://pergamum.anac.gov.br/arquivos/PA2017-3036.pdf
SNRY;MG0259;Bissoli;BELO HORIZONTE;Minas Gerais;"043°56'06,0""O";"19°58'22,0""S";VFR Diurna;19;Quadrado;20m x 20m;t;Concreto;19/12/2023;PA2016-2100;https://pergamum.anac.gov.br/arquivos/PA2016-2100.pdf
SNSD;MG0260;Edifício Sede Direcional Engenharia;BELO HORIZONTE;Minas Gerais;"043°55'20,0""O";"19°55'38,0""S";VFR Diurna;20;Quadrado;19m x 19m;t;Concreto;09/10/2027;PA2017-3217;https://pergamum.anac.gov.br/arquivos/PA2017-3217.pdf
SNWM;MG0262;Marcelo Machado;JUIZ DE FORA;Minas Gerais;"043°23'49,0""O";"21°47'10,0""S";VFR Diurna;14;Quadrado;20m x 20m;t;Grama;26/04/2028;PA2018-1263;https://pergamum.anac.gov.br/arquivos/PA2018-1263.pdf
SSMS;MG0269;Supermercados BH;CONTAGEM;Minas Gerais;"044°01'51,0""O";"19°51'56,0""S";VFR Diurna;32;Quadrado;20,5m x 20,5m;t;Concreto;11/04/2026;PA2016-0868;https://pergamum.anac.gov.br/arquivos/PA2016-0868.pdf
SSRH;MG0272;Haras Sahara;MATOZINHOS;Minas Gerais;"044°01'14,4""O";"19°32'03,8""S";VFR Diurna/Noturna;9 27;Quadrado;21m x 21m;t;Concreto;28/09/2022;PA2012-1961;https://pergamum.anac.gov.br/arquivos/PA2012-1961.pdf
SWAW;MG0278;Tropical;NOVA SERRANA;Minas Gerais;"045°00'12,0""O";"19°52'26,0""S";VFR Diurna;31;Quadrado;20m x 20m;t;Concreto;15/03/2023;PA2013-0680;https://pergamum.anac.gov.br/arquivos/PA2013-0680.pdf
SWBL;MG0279;Marinas Portobello;CAPITÓLIO;Minas Gerais;"046°00'22,0""O";"20°37'47,0""S";VFR Diurna;12;Quadrado;18m x 18m;t;Concreto;09/10/2027;PA2017-3204;https://pergamum.anac.gov.br/arquivos/PA2017-3204.pdf
SWCM;MG0281;Hospital Marcio Cunha;IPATINGA;Minas Gerais;"042°32'22,0""O";"19°29'50,0""S";VFR Diurna/Noturna;2;Quadrado;21m x 21m;t;Concreto;26/01/2025;PA2015-0172;https://pergamum.anac.gov.br/arquivos/PA2015-0172.pdf
SWMD;MG0283;Fazenda da Máquina;SETE LAGOAS;Minas Gerais;"044°18'50,0""O";"19°26'24,0""S";VFR Diurna/Noturna;15;Quadrado;21m x 21m;t;Concreto;09/08/2023;PA2013-2030;https://pergamum.anac.gov.br/arquivos/PA2013-2030.pdf
